owner,score,for,against,total score,total for,total against
CHIEFxWAHOO,163.46,11,0,1942.42,112,64
grobelnydg,151.8,10,1,2128.38,137,39
terrierlefty,146.64,9,2,2077.46,120,56
LTreu,143.84,8,3,1787.92,80,96
MattyIce824,139.3,7,4,1785.94,86,90
hotboiz,136.24,6,5,1753.16,87,89
jeffmcdougal,123.56,5,6,1627.16,66,110
Sandpharoah,111.44,4,7,1617.6,61,115
markist,106.48,3,8,1706.14,70,106
rickydimuzio5,92.98,2,9,1956.26,110,66
jbohannan,88.7,1,10,1852.38,97,79
bhillman42,83.88,0,11,1343.84,30,146
