owner,score,for,against,total score,total for,total against
jbohannan,148.34,11,0,999.78,56,32
CHIEFxWAHOO,129.5,10,1,1009.36,56,32
LTreu,113.74,9,2,915.12,45,43
rickydimuzio5,108.7,8,3,962.48,52,36
MattyIce824,107.04,7,4,882.62,37,51
grobelnydg,103.42,6,5,1002.64,61,27
jeffmcdougal,100.12,5,6,848.02,36,52
bhillman42,96.86,4,7,704.06,17,71
terrierlefty,84.04,3,8,972.82,51,37
markist,79.48,2,9,862.4,35,53
Sandpharoah,71.18,1,10,883.82,41,47
hotboiz,64.94,0,11,875.22,41,47
