owner,score,for,against,total score,total for,total against
terrierlefty,198.54,11,0,1529.7,86,46
rickydimuzio5,174.9,10,1,1513.16,88,44
LTreu,129.68,9,2,1334.38,63,69
MattyIce824,123.7,8,3,1309.02,60,72
jbohannan,106.9,7,4,1459.58,85,47
grobelnydg,106.28,6,5,1512.9,97,35
Sandpharoah,100.52,5,6,1230.86,50,82
bhillman42,83.4,4,7,1005.44,27,105
CHIEFxWAHOO,79.52,3,8,1404.58,79,53
hotboiz,76.18,2,9,1251.8,58,74
markist,67.94,1,10,1256.18,50,82
jeffmcdougal,61.94,0,11,1215.98,49,83
