owner,score,for,against,total score,total for,total against
terrierlefty,160.1,11,0,1804.6,103,51
grobelnydg,146.72,10,1,1786.12,116,38
jbohannan,122.14,9,2,1664.24,95,59
CHIEFxWAHOO,119.88,8,3,1633.9,91,63
MattyIce824,103.56,7,4,1535.1,75,79
jeffmcdougal,99.46,6,5,1379.78,55,99
LTreu,98.22,5,6,1537.42,70,84
rickydimuzio5,94.46,4,7,1729.24,99,55
hotboiz,92.4,3,8,1474.5,71,83
markist,88.98,2,9,1488.46,63,91
Sandpharoah,84.04,1,10,1424.84,56,98
bhillman42,68.66,0,11,1181.28,30,124
