owner,score,for,against,total score,total for,total against
CHIEFxWAHOO,163.4,11,0,246.34,11,11
grobelnydg,153.3,10,1,285.78,20,2
jbohannan,146.12,9,2,260.9,15,7
hotboiz,142.78,8,3,234.18,10,12
markist,139.14,7,4,258.1,14,8
rickydimuzio5,135.64,6,5,249.64,10,12
Sandpharoah,131.36,5,6,257.12,13,9
terrierlefty,130.36,4,7,244.96,9,13
bhillman42,94.86,3,8,180.94,4,18
jeffmcdougal,93.3,2,9,225.52,11,11
MattyIce824,82.52,1,10,248.42,12,10
LTreu,76.18,0,11,178.32,3,19
