owner,score,for,against,total score,total for,total against
rickydimuzio5,144.2,11,0,853.58,44,33
markist,129.82,10,1,777.22,33,44
hotboiz,120.42,9,2,799.88,41,36
terrierlefty,118.62,8,3,888.78,48,29
grobelnydg,112.38,7,4,899.22,55,22
bhillman42,110.94,6,5,607.2,13,64
Sandpharoah,105.28,5,6,812.64,40,37
jeffmcdougal,102.96,4,7,747.9,32,45
MattyIce824,99.78,3,8,775.58,31,46
jbohannan,91.72,2,9,851.44,46,31
CHIEFxWAHOO,90.16,1,10,865.72,43,34
LTreu,60.2,0,11,794.58,36,41
