owner,score,for,against,total score,total for,total against
rickydimuzio5,135.26,11,0,1338.26,78,43
grobelnydg,131.96,10,1,1406.62,91,30
CHIEFxWAHOO,126.34,9,2,1325.06,76,45
MattyIce824,115.98,8,3,1185.32,52,69
jbohannan,112.08,7,4,1352.68,78,43
terrierlefty,111.14,6,5,1331.16,75,46
hotboiz,108.8,5,6,1175.62,56,65
markist,106.78,4,7,1183.94,49,72
jeffmcdougal,101.96,3,8,1154.04,49,72
Sandpharoah,99.36,2,9,1130.34,45,76
LTreu,94.22,1,10,1204.7,54,67
bhillman42,63.02,0,11,922.04,23,98
