owner,score,for,against,total score,total for,total against
jbohannan,150.7,11,0,1150.48,67,32
grobelnydg,149.3,10,1,1151.94,71,28
markist,139.24,9,2,1001.64,44,55
rickydimuzio5,132.32,8,3,1094.8,60,39
terrierlefty,118.5,7,4,1091.32,58,41
LTreu,112.28,6,5,1027.4,51,48
jeffmcdougal,110.84,5,6,958.86,41,58
MattyIce824,100.96,4,7,983.58,41,58
CHIEFxWAHOO,78.78,3,8,1088.14,59,40
Sandpharoah,77.58,2,9,961.4,43,56
hotboiz,73.26,1,10,948.48,42,57
bhillman42,56.54,0,11,760.6,17,82
