owner,score,for,against,total score,total for,total against
LTreu,161.84,11,0,472.86,23,21
CHIEFxWAHOO,151.18,10,1,552.2,31,13
terrierlefty,144.62,9,2,500.06,23,21
hotboiz,133.1,8,3,467.86,22,22
Sandpharoah,130.1,7,4,505.1,26,18
MattyIce824,129.58,6,5,476.42,21,23
jbohannan,117.7,5,6,501.2,27,17
jeffmcdougal,112.0,4,7,419.68,16,28
rickydimuzio5,107.52,3,8,483.96,21,23
grobelnydg,99.32,2,9,540.84,33,11
markist,98.2,1,10,452.38,17,27
bhillman42,79.6,0,11,337.02,4,40
