owner,score,for,against,total score,total for,total against
terrierlefty,157.3,11,0,770.16,40,26
Sandpharoah,151.74,10,1,707.36,35,31
hotboiz,123.78,9,2,679.46,32,34
grobelnydg,119.48,8,3,786.84,48,18
rickydimuzio5,118.72,7,4,709.38,33,33
jbohannan,105.54,6,5,759.72,44,22
MattyIce824,102.94,5,6,675.8,28,38
jeffmcdougal,96.7,4,7,644.94,28,38
LTreu,89.4,3,8,734.38,37,29
CHIEFxWAHOO,82.62,2,9,775.56,43,23
markist,63.78,1,10,620.9,21,45
bhillman42,62.72,0,11,496.26,7,59
