owner,score,for,against,total score,total for,total against
markist,140.2,11,0,1396.38,61,82
hotboiz,130.3,10,1,1382.1,68,75
grobelnydg,126.5,9,2,1639.4,106,37
MattyIce824,122.52,8,3,1431.54,68,75
rickydimuzio5,121.62,7,4,1634.78,95,48
Sandpharoah,110.04,6,5,1340.9,56,87
CHIEFxWAHOO,109.44,5,6,1514.02,84,59
bhillman42,107.18,4,7,1112.62,31,112
terrierlefty,105.8,3,8,1635.5,89,54
LTreu,104.82,2,9,1439.2,65,78
jbohannan,82.52,1,10,1542.1,86,57
jeffmcdougal,64.34,0,11,1280.32,49,94
