owner,score,for,against,total score,total for,total against
grobelnydg,155.74,11,0,441.52,30,3
CHIEFxWAHOO,154.68,10,1,401.02,21,12
LTreu,132.7,9,2,311.02,12,21
rickydimuzio5,126.8,8,3,376.44,18,15
jbohannan,122.6,7,4,419.4,26,7
Sandpharoah,117.88,6,5,375.0,18,15
terrierlefty,110.48,5,6,355.44,14,19
hotboiz,100.58,4,7,334.76,14,19
MattyIce824,98.42,3,8,346.84,15,18
markist,97.08,2,9,355.18,15,18
jeffmcdougal,82.16,1,10,307.68,11,22
bhillman42,76.48,0,11,257.42,4,29
