owner,score,for,against,total score,total for,total against
LTreu,172.12,11,0,644.98,34,21
CHIEFxWAHOO,140.74,10,1,692.94,41,14
jeffmcdougal,128.56,9,2,548.24,24,31
grobelnydg,126.52,8,3,667.36,40,15
jbohannan,117.08,7,4,654.18,38,17
rickydimuzio5,106.7,6,5,590.66,27,28
markist,104.74,5,6,557.12,21,34
terrierlefty,97.7,4,7,597.76,27,28
bhillman42,96.52,3,8,433.54,7,48
MattyIce824,96.44,2,9,572.86,23,32
hotboiz,87.82,1,10,555.68,23,32
Sandpharoah,50.52,0,11,555.62,25,30
