owner,score,for,against,total score,total for,total against
MattyIce824,165.89999389648438,11,0,165.89999389648438,11,0
jbohannan,150.67999267578125,10,1,150.67999267578125,10,1
grobelnydg,132.47999572753906,9,2,132.47999572753906,9,2
jeffmcdougal,132.22000122070312,8,3,132.22000122070312,8,3
Sandpharoah,125.76000213623047,7,4,125.76000213623047,7,4
markist,118.86000061035156,6,5,118.86000061035156,6,5
terrierlefty,114.5999984741211,5,6,114.5999984741211,5,6
rickydimuzio5,114.0,4,7,114.0,4,7
LTreu,102.13999938964844,3,8,102.13999938964844,3,8
hotboiz,91.4000015258789,2,9,91.4000015258789,2,9
bhillman42,86.08000183105469,1,10,86.08000183105469,1,10
CHIEFxWAHOO,82.94000244140625,0,11,82.94000244140625,0,11
