owner,score,for,against,total score,total for,total against
terrierlefty,128.7,11,0,1220.02,69,41
grobelnydg,122.72,10,1,1274.66,81,29
hotboiz,118.34,9,2,1066.82,51,59
CHIEFxWAHOO,110.58,8,3,1198.72,67,43
rickydimuzio5,108.2,7,4,1203.0,67,43
bhillman42,98.42,6,5,859.02,23,87
jeffmcdougal,93.22,5,6,1052.08,46,64
jbohannan,90.12,4,7,1240.6,71,39
MattyIce824,85.76,3,8,1069.34,44,66
LTreu,82.48,2,9,1110.48,53,57
markist,79.82,1,10,1077.16,45,65
Sandpharoah,69.58,0,11,1030.98,43,67
